,pokedex_number_x,pokedex_number_y,Winner_number
137,36,512,512
138,51,512,51
139,94,512,94
140,106,512,512
141,111,512,512
142,135,512,135
143,149,512,512
144,161,512,512
145,206,512,512
146,214,512,512
147,245,512,512
148,305,512,512
149,312,512,512
150,315,512,512
151,333,512,512
152,336,512,512
153,358,512,512
154,365,512,512
155,383,512,512
156,410,512,512
157,417,512,512
158,418,512,512
159,419,512,419
160,429,512,429
161,457,512,512
162,471,512,512
163,497,512,497
164,501,512,512
165,504,512,512
166,510,512,510
167,519,512,512
168,525,512,512
169,534,512,512
170,554,512,512
171,561,512,512
172,563,512,512
173,578,512,512
174,587,512,587
175,616,512,512
176,621,512,512
177,644,512,512
178,662,512,512
179,689,512,512
180,695,512,695
181,699,512,512
182,704,512,512
183,1,497,497
184,47,497,47
185,83,497,497
186,86,497,497
187,138,497,497
188,170,497,497
189,184,497,497
190,189,497,497
191,189,497,497
192,206,497,497
193,210,497,497
194,214,497,497
195,221,497,497
196,226,497,497
197,226,497,497
198,249,497,497
199,258,497,497
200,261,497,497
201,263,497,497
202,274,497,497
203,284,497,497
204,320,497,497
205,325,497,497
206,335,497,497
207,348,497,497
208,350,497,497
209,365,497,497
210,365,497,497
211,369,497,497
212,383,497,497
213,387,497,497
214,410,497,497
215,417,497,497
216,450,497,497
217,456,497,497
218,480,497,497
219,494,497,497
220,500,497,500
221,502,497,497
222,510,497,497
223,518,497,497
224,530,497,497
225,548,497,497
226,564,497,497
227,590,497,497
228,605,497,497
229,632,497,497
230,633,497,497
231,650,497,497
232,666,497,497
233,694,497,497
234,703,497,497
235,707,497,497
236,717,497,497
237,717,497,497
238,1,695,695
239,7,695,695
240,13,695,695
241,46,695,695
242,64,695,695
243,104,695,104
244,105,695,105
245,121,695,121
246,158,695,695
247,187,695,695
248,196,695,196
249,198,695,695
250,214,695,695
251,222,695,695
252,243,695,243
253,289,695,695
254,312,695,695
255,328,695,328
256,342,695,695
257,357,695,695
258,371,695,695
259,374,695,695
260,391,695,695
261,410,695,695
262,412,695,695
263,420,695,695
264,428,695,695
265,429,695,695
266,447,695,695
267,460,695,695
268,465,695,465
269,499,695,695
270,505,695,695
271,511,695,695
272,529,695,529
273,551,695,551
274,552,695,552
275,572,695,695
276,577,695,695
277,578,695,695
278,589,695,589
279,590,695,590
280,614,695,695
281,632,695,695
282,639,695,695
283,640,695,695
284,687,695,695
285,693,695,695
286,1,121,121
287,7,121,121
288,11,121,121
289,23,121,121
290,37,121,121
291,43,121,121
292,53,121,121
293,62,121,121
294,91,121,121
295,111,121,121
296,117,121,121
297,122,121,121
298,144,121,121
299,147,121,121
300,157,121,121
301,162,121,121
302,167,121,121
303,175,121,121
304,176,121,121
305,202,121,121
306,220,121,121
307,223,121,121
308,234,121,121
309,247,121,121
310,253,121,121
311,259,121,121
312,262,121,121
313,273,121,121
314,287,121,121
315,307,121,121
316,307,121,121
317,327,121,121
318,327,121,121
319,328,121,121
320,350,121,121
321,355,121,121
322,358,121,121
323,371,121,121
324,403,121,121
325,416,121,121
326,421,121,121
327,441,121,121
328,451,121,121
329,451,121,121
330,489,121,121
331,502,121,121
332,504,121,121
333,530,121,121
334,534,121,534
335,538,121,121
336,543,121,121
337,554,121,121
338,558,121,121
339,561,121,121
340,565,121,565
341,576,121,121
342,584,121,121
343,597,121,597
344,604,121,604
345,608,121,121
346,611,121,121
347,611,121,121
348,650,121,121
349,652,121,121
350,658,121,658
351,663,121,663
352,696,121,121
353,700,121,121
354,1,141,141
355,2,141,141
356,4,141,141
357,14,141,141
358,29,141,141
359,48,141,141
360,52,141,52
361,58,141,141
362,96,141,141
363,97,141,141
364,100,141,100
365,109,141,141
366,127,141,127
367,131,141,141
368,162,141,162
369,170,141,141
370,185,141,141
371,218,141,141
372,222,141,141
373,233,141,141
374,234,141,234
375,265,141,141
376,284,141,141
377,285,141,141
378,287,141,141
379,290,141,141
380,304,141,141
381,341,141,141
382,352,141,141
383,353,141,141
384,371,141,141
385,372,141,141
386,392,141,392
387,399,141,141
388,422,141,141
389,445,141,445
390,475,141,141
391,481,141,141
392,505,141,141
393,534,141,141
394,554,141,141
395,582,141,141
396,596,141,596
397,603,141,141
398,615,141,615
399,627,141,141
400,644,141,644
401,666,141,666
402,670,141,141
403,684,141,141
404,697,141,141
405,721,141,141
406,1,179,1
407,18,179,18
408,44,179,44
409,45,179,45
410,66,179,179
411,77,179,77
412,111,179,111
413,122,179,122
414,134,179,134
415,136,179,136
416,160,179,160
417,173,179,179
418,189,179,189
419,191,179,179
420,207,179,207
421,209,179,179
422,229,179,229
423,245,179,245
424,247,179,247
425,293,179,179
426,303,179,303
427,311,179,311
428,325,179,325
429,351,179,351
430,355,179,179
431,362,179,362
432,372,179,372
433,373,179,373
434,377,179,377
435,395,179,395
436,397,179,397
437,414,179,414
438,427,179,427
439,457,179,457
440,477,179,477
441,480,179,480
442,488,179,488
443,507,179,507
444,524,179,179
445,528,179,528
446,528,179,528
447,531,179,531
448,550,179,550
449,559,179,559
450,564,179,179
451,578,179,179
452,584,179,584
453,607,179,179
454,607,179,179
455,621,179,621
456,630,179,630
457,637,179,637
458,658,179,658
459,659,179,659
460,662,179,662
461,671,179,671
462,672,179,672
463,672,179,672
464,687,179,687
465,708,179,708
466,1,261,1
467,54,261,54
468,85,261,85
469,93,261,93
470,94,261,94
471,103,261,103
472,109,261,261
473,112,261,112
474,113,261,113
475,117,261,117
476,125,261,125
477,128,261,128
478,150,261,261
479,194,261,261
480,202,261,261
481,207,261,207
482,240,261,240
483,266,261,261
484,269,261,269
485,269,261,269
486,295,261,295
487,302,261,261
488,311,261,311
489,320,261,320
490,363,261,261
491,366,261,261
492,370,261,370
493,382,261,382
494,398,261,398
495,438,261,261
496,454,261,454
497,473,261,473
498,478,261,261
499,497,261,497
500,500,261,500
501,524,261,261
502,527,261,261
503,569,261,569
504,587,261,587
505,591,261,261
506,608,261,608
507,650,261,650
508,701,261,701
509,1,519,1
510,4,519,4
511,4,519,4
512,10,519,10
513,10,519,10
514,35,519,519
515,38,519,38
516,38,519,38
517,46,519,519
518,50,519,50
519,56,519,56
520,66,519,519
521,79,519,519
522,88,519,519
523,90,519,519
524,112,519,519
525,123,519,123
526,130,519,130
527,140,519,140
528,141,519,141
529,156,519,156
530,157,519,157
531,158,519,519
532,160,519,160
533,161,519,519
534,167,519,519
535,171,519,171
536,176,519,519
537,179,519,519
538,211,519,211
539,214,519,214
540,238,519,238
541,242,519,242
542,244,519,244
543,247,519,519
544,253,519,253
545,271,519,271
546,285,519,519
547,287,519,519
548,296,519,519
549,301,519,301
550,306,519,306
551,307,519,307
552,339,519,519
553,341,519,519
554,344,519,344
555,347,519,347
556,352,519,519
557,352,519,519
558,360,519,519
559,365,519,365
560,373,519,373
561,378,519,378
562,380,519,380
563,428,519,428
564,437,519,519
565,462,519,462
566,463,519,463
567,489,519,489
568,511,519,511
569,524,519,519
570,532,519,519
571,541,519,519
572,546,519,546
573,551,519,551
574,570,519,570
575,582,519,582
576,588,519,588
577,604,519,604
578,610,519,610
579,612,519,612
580,632,519,632
581,633,519,519
582,669,519,519
583,685,519,685
584,694,519,694
585,701,519,701
586,717,519,717
587,1,299,1
588,3,299,3
589,12,299,12
590,12,299,12
591,39,299,299
592,51,299,51
593,74,299,299
594,75,299,75
595,84,299,84
596,89,299,89
597,125,299,125
598,125,299,125
599,131,299,131
600,133,299,133
601,147,299,147
602,151,299,151
603,169,299,169
604,199,299,299
605,199,299,299
606,216,299,216
607,231,299,231
608,237,299,237
609,245,299,245
610,255,299,255
611,259,299,259
612,262,299,262
613,263,299,263
614,264,299,264
615,266,299,299
616,274,299,274
617,275,299,275
618,278,299,278
619,292,299,299
620,301,299,301
621,305,299,305
622,315,299,315
623,320,299,320
624,334,299,334
625,352,299,352
626,370,299,370
627,371,299,371
628,378,299,378
629,403,299,403
630,411,299,299
631,429,299,429
632,433,299,433
633,434,299,434
634,447,299,447
635,451,299,451
636,471,299,471
637,489,299,489
638,500,299,500
639,511,299,511
640,544,299,544
641,570,299,570
642,578,299,299
643,580,299,580
644,596,299,596
645,618,299,618
646,619,299,619
647,670,299,670
648,696,299,696
649,707,299,707
650,708,299,708
651,713,299,299
652,717,299,717
653,1,352,1
654,8,352,8
655,59,352,59
656,68,352,68
657,75,352,352
658,80,352,352
659,85,352,85
660,90,352,352
661,113,352,352
662,116,352,116
663,131,352,131
664,133,352,133
665,138,352,352
666,189,352,189
667,194,352,352
668,209,352,352
669,218,352,352
670,228,352,228
671,235,352,352
672,236,352,352
673,237,352,237
674,265,352,352
675,287,352,352
676,308,352,308
677,318,352,318
678,321,352,321
679,354,352,352
680,355,352,352
681,385,352,385
682,390,352,390
683,393,352,352
684,448,352,448
685,449,352,352
686,465,352,465
687,480,352,480
688,548,352,352
689,566,352,566
690,567,352,567
691,572,352,572
692,580,352,580
693,589,352,352
694,670,352,670
695,685,352,685
696,697,352,697
697,699,352,699
698,705,352,705
699,706,352,706
700,709,352,352
701,714,352,714
702,1,708,1
703,6,708,6
704,7,708,7
705,7,708,7
706,17,708,708
707,31,708,31
708,36,708,36
709,44,708,44
710,76,708,76
711,83,708,708
712,104,708,708
713,125,708,125
714,150,708,150
715,159,708,159
716,167,708,708
717,171,708,171
718,182,708,182
719,193,708,193
720,195,708,708
721,214,708,214
722,215,708,215
723,235,708,708
724,237,708,708
725,238,708,238
726,245,708,245
727,261,708,708
728,262,708,262
729,264,708,708
730,276,708,708
731,280,708,280
732,306,708,306
733,315,708,315
734,324,708,708
735,328,708,708
736,343,708,343
737,346,708,346
738,348,708,348
739,353,708,353
740,358,708,358
741,395,708,395
742,400,708,708
743,414,708,414
744,450,708,450
745,465,708,465
746,479,708,479
747,488,708,488
748,512,708,512
749,528,708,528
750,538,708,708
751,541,708,541
752,544,708,544
753,547,708,547
754,547,708,547
755,561,708,561
756,563,708,708
757,567,708,567
758,574,708,574
759,579,708,708
760,594,708,594
761,599,708,708
762,602,708,602
763,628,708,708
764,677,708,677
765,702,708,702
766,705,708,705
767,1,622,1
768,20,622,622
769,21,622,21
770,22,622,22
771,37,622,622
772,44,622,44
773,85,622,85
774,101,622,622
775,109,622,622
776,117,622,622
777,121,622,121
778,127,622,622
779,136,622,622
780,142,622,142
781,179,622,622
782,184,622,184
783,187,622,187
784,190,622,622
785,196,622,622
786,215,622,215
787,227,622,227
788,259,622,259
789,263,622,622
790,277,622,277
791,284,622,284
792,286,622,622
793,311,622,622
794,332,622,332
795,350,622,622
796,353,622,622
797,447,622,622
798,460,622,460
799,463,622,622
800,471,622,622
801,491,622,622
802,504,622,622
803,508,622,622
804,526,622,622
805,535,622,622
806,545,622,545
807,561,622,561
808,562,622,622
809,573,622,622
810,630,622,630
811,654,622,622
812,664,622,622
813,666,622,666
814,673,622,622
815,680,622,622
816,692,622,622
817,694,622,622
818,721,622,721
819,1,199,1
820,5,199,199
821,43,199,199
822,47,199,199
823,61,199,61
824,85,199,85
825,89,199,89
826,104,199,104
827,141,199,141
828,176,199,176
829,191,199,199
830,204,199,199
831,205,199,205
832,211,199,211
833,222,199,222
834,236,199,236
835,237,199,237
836,240,199,199
837,240,199,199
838,245,199,245
839,252,199,252
840,266,199,199
841,273,199,199
842,273,199,199
843,278,199,199
844,281,199,281
845,287,199,199
846,287,199,199
847,289,199,289
848,291,199,291
849,298,199,199
850,322,199,322
851,329,199,329
852,332,199,332
853,361,199,361
854,366,199,366
855,366,199,366
856,367,199,367
857,373,199,373
858,437,199,437
859,449,199,449
860,464,199,464
861,516,199,516
862,516,199,516
863,517,199,199
864,536,199,536
865,549,199,549
866,560,199,560
867,584,199,584
868,591,199,199
869,600,199,600
870,636,199,636
871,638,199,199
872,667,199,199
873,675,199,675
874,690,199,199
875,1,278,1
876,15,278,278
877,20,278,20
878,32,278,278
879,33,278,278
880,49,278,49
881,63,278,63
882,105,278,278
883,108,278,108
884,124,278,124
885,130,278,278
886,153,278,278
887,189,278,189
888,221,278,278
889,224,278,224
890,234,278,278
891,237,278,278
892,245,278,278
893,253,278,253
894,280,278,278
895,312,278,312
896,332,278,332
897,332,278,332
898,355,278,278
899,408,278,278
900,409,278,409
901,418,278,278
902,426,278,278
903,426,278,278
904,429,278,429
905,432,278,432
906,433,278,278
907,446,278,446
908,450,278,450
909,456,278,278
910,474,278,474
911,483,278,483
912,484,278,484
913,515,278,278
914,524,278,524
915,530,278,530
916,531,278,278
917,547,278,547
918,548,278,548
919,607,278,278
920,625,278,278
921,638,278,638
922,639,278,639
923,643,278,643
924,658,278,658
925,676,278,676
926,677,278,278
927,679,278,278
928,692,278,278
929,702,278,702
930,706,278,278
931,1,176,1
932,2,176,2
933,10,176,10
934,30,176,30
935,61,176,61
936,63,176,176
937,86,176,86
938,112,176,176
939,114,176,114
940,129,176,176
941,134,176,134
942,137,176,176
943,140,176,140
944,143,176,176
945,145,176,145
946,153,176,153
947,164,176,164
948,173,176,176
949,193,176,193
950,213,176,176
951,220,176,176
952,220,176,176
953,248,176,248
954,248,176,248
955,274,176,274
956,279,176,279
957,281,176,281
958,312,176,312
959,319,176,319
960,337,176,337
961,374,176,176
962,374,176,176
963,382,176,382
964,383,176,383
965,388,176,176
966,389,176,176
967,437,176,176
968,464,176,176
969,467,176,467
970,470,176,470
971,480,176,480
972,499,176,499
973,515,176,515
974,517,176,176
975,524,176,176
976,524,176,176
977,531,176,531
978,538,176,538
979,603,176,176
980,608,176,608
981,644,176,176
982,651,176,651
983,667,176,667
984,676,176,676
985,682,176,176
986,684,176,684
987,1,175,1
988,2,175,2
989,2,175,2
990,46,175,46
991,91,175,91
992,95,175,95
993,96,175,96
994,109,175,109
995,149,175,175
996,156,175,156
997,156,175,156
998,157,175,157
999,167,175,167
1000,183,175,183
1001,193,175,193
1002,197,175,197
1003,223,175,223
1004,233,175,233
1005,241,175,241
1006,258,175,258
1007,282,175,282
1008,319,175,319
1009,338,175,338
1010,342,175,342
1011,343,175,343
1012,350,175,350
1013,371,175,175
1014,383,175,383
1015,383,175,383
1016,385,175,385
1017,389,175,389
1018,397,175,397
1019,403,175,403
1020,420,175,420
1021,467,175,467
1022,473,175,473
1023,493,175,493
1024,503,175,503
1025,539,175,539
1026,542,175,542
1027,548,175,548
1028,552,175,552
1029,560,175,560
1030,561,175,561
1031,571,175,571
1032,614,175,614
1033,621,175,175
1034,626,175,626
1035,657,175,657
1036,665,175,665
1037,686,175,686
1038,691,175,691
1039,697,175,697
1040,1,316,1
1041,30,316,30
1042,48,316,48
1043,67,316,67
1044,106,316,106
1045,119,316,119
1046,131,316,131
1047,138,316,316
1048,162,316,162
1049,162,316,162
1050,184,316,184
1051,200,316,200
1052,207,316,207
1053,220,316,220
1054,222,316,316
1055,222,316,316
1056,225,316,225
1057,235,316,235
1058,269,316,269
1059,288,316,288
1060,305,316,316
1061,307,316,307
1062,327,316,327
1063,349,316,316
1064,350,316,350
1065,368,316,368
1066,382,316,382
1067,392,316,392
1068,407,316,407
1069,422,316,316
1070,429,316,429
1071,436,316,436
1072,482,316,482
1073,493,316,493
1074,494,316,494
1075,503,316,503
1076,503,316,503
1077,530,316,530
1078,578,316,316
1079,580,316,580
1080,581,316,581
1081,587,316,587
1082,606,316,316
1083,607,316,316
1084,621,316,621
1085,637,316,637
1086,649,316,649
1087,650,316,316
1088,657,316,657
1089,713,316,316
1090,1,77,77
1091,4,77,77
1092,10,77,77
1093,11,77,77
1094,22,77,22
1095,25,77,77
1096,51,77,51
1097,81,77,77
1098,86,77,77
1099,90,77,77
1100,92,77,77
1101,96,77,77
1102,110,77,77
1103,123,77,123
1104,139,77,77
1105,146,77,77
1106,155,77,77
1107,182,77,77
1108,210,77,77
1109,211,77,77
1110,218,77,77
1111,219,77,77
1112,231,77,77
1113,237,77,77
1114,248,77,77
1115,251,77,251
1116,253,77,253
1117,269,77,77
1118,286,77,77
1119,293,77,77
1120,294,77,77
1121,306,77,77
1122,309,77,77
1123,347,77,77
1124,384,77,384
1125,412,77,77
1126,414,77,77
1127,414,77,77
1128,442,77,77
1129,454,77,77
1130,462,77,77
1131,486,77,486
1132,488,77,77
1133,501,77,77
1134,512,77,512
1135,513,77,77
1136,517,77,77
1137,522,77,77
1138,574,77,77
1139,581,77,581
1140,601,77,77
1141,605,77,77
1142,608,77,77
1143,635,77,635
1144,661,77,77
1145,676,77,676
1146,683,77,77
1147,688,77,77
1148,689,77,77
1149,697,77,77
1150,701,77,701
1151,1,377,377
1152,21,377,21
1153,23,377,23
1154,30,377,30
1155,41,377,41
1156,66,377,377
1157,74,377,377
1158,74,377,377
1159,80,377,377
1160,84,377,84
1161,95,377,95
1162,117,377,117
1163,123,377,123
1164,123,377,123
1165,130,377,130
1166,142,377,142
1167,150,377,150
1168,156,377,156
1169,242,377,242
1170,251,377,251
1171,279,377,279
1172,280,377,377
1173,285,377,377
1174,292,377,377
1175,293,377,377
1176,321,377,321
1177,325,377,325
1178,328,377,377
1179,337,377,337
1180,338,377,338
1181,345,377,377
1182,359,377,359
1183,379,377,377
1184,387,377,377
1185,389,377,389
1186,396,377,396
1187,397,377,397
1188,407,377,407
1189,412,377,377
1190,420,377,377
1191,421,377,421
1192,435,377,435
1193,450,377,377
1194,451,377,451
1195,459,377,377
1196,491,377,491
1197,491,377,491
1198,512,377,512
1199,529,377,529
1200,539,377,539
1201,551,377,551
1202,553,377,553
1203,565,377,377
1204,574,377,377
1205,586,377,586
1206,595,377,595
1207,597,377,377
1208,607,377,377
1209,609,377,609
1210,616,377,377
1211,663,377,377
1212,665,377,377
1213,670,377,670
1214,676,377,676
1215,682,377,377
1216,683,377,377
1217,683,377,377
1218,693,377,693
1219,1,414,414
1220,32,414,414
1221,44,414,414
1222,47,414,414
1223,70,414,414
1224,73,414,73
1225,88,414,414
1226,91,414,91
1227,92,414,92
1228,111,414,414
1229,119,414,119
1230,141,414,141
1231,143,414,414
1232,144,414,144
1233,146,414,146
1234,156,414,156
1235,160,414,160
1236,181,414,414
1237,188,414,188
1238,190,414,190
1239,194,414,414
1240,221,414,414
1241,233,414,414
1242,252,414,252
1243,259,414,414
1244,294,414,414
1245,312,414,312
1246,334,414,334
1247,334,414,334
1248,337,414,337
1249,346,414,414
1250,364,414,414
1251,365,414,414
1252,383,414,383
1253,387,414,414
1254,409,414,414
1255,435,414,435
1256,446,414,446
1257,454,414,454
1258,470,414,470
1259,474,414,474
1260,497,414,497
1261,508,414,508
1262,521,414,521
1263,522,414,522
1264,536,414,414
1265,554,414,414
1266,568,414,414
1267,570,414,414
1268,573,414,573
1269,582,414,414
1270,601,414,601
1271,606,414,414
1272,622,414,414
1273,627,414,414
1274,634,414,414
1275,674,414,414
1276,689,414,689
1277,696,414,414
1278,699,414,414
1279,714,414,414
1280,1,543,543
1281,5,543,5
1282,31,543,31
1283,34,543,34
1284,51,543,51
1285,76,543,76
1286,77,543,77
1287,81,543,543
1288,88,543,88
1289,104,543,543
1290,107,543,107
1291,124,543,124
1292,139,543,543
1293,140,543,543
1294,154,543,154
1295,155,543,155
1296,189,543,189
1297,200,543,200
1298,213,543,543
1299,213,543,543
1300,231,543,543
1301,258,543,543
1302,259,543,543
1303,289,543,289
1304,298,543,543
1305,324,543,324
1306,334,543,334
1307,339,543,339
1308,352,543,543
1309,353,543,543
1310,357,543,543
1311,359,543,359
1312,365,543,365
1313,371,543,543
1314,379,543,543
1315,383,543,383
1316,392,543,392
1317,398,543,398
1318,399,543,543
1319,417,543,417
1320,440,543,543
1321,485,543,485
1322,522,543,522
1323,532,543,543
1324,550,543,550
1325,553,543,553
1326,560,543,560
1327,573,543,573
1328,580,543,543
1329,592,543,543
1330,616,543,543
1331,624,543,624
1332,707,543,707
1333,719,543,543
1334,1,5,5
1335,25,5,25
1336,30,5,5
1337,39,5,5
1338,42,5,42
1339,44,5,5
1340,46,5,5
1341,49,5,49
1342,74,5,74
1343,75,5,75
1344,81,5,5
1345,84,5,5
1346,96,5,5
1347,105,5,5
1348,126,5,126
1349,173,5,5
1350,195,5,195
1351,211,5,211
1352,214,5,214
1353,241,5,241
1354,259,5,5
1355,264,5,264
1356,265,5,5
1357,276,5,276
1358,320,5,5
1359,378,5,5
1360,382,5,382
1361,385,5,385
1362,403,5,5
1363,433,5,5
1364,434,5,5
1365,473,5,5
1366,499,5,5
1367,519,5,5
1368,523,5,523
1369,525,5,525
1370,545,5,545
1371,567,5,567
1372,585,5,5
1373,591,5,5
1374,594,5,5
1375,622,5,5
1376,629,5,5
1377,657,5,657
1378,679,5,5
1379,698,5,5
1380,715,5,715
1381,1,31,31
1382,3,31,3
1383,19,31,31
1384,22,31,22
1385,24,31,24
1386,43,31,31
1387,49,31,49
1388,72,31,31
1389,77,31,77
1390,80,31,31
1391,87,31,31
1392,109,31,31
1393,152,31,31
1394,163,31,163
1395,180,31,31
1396,190,31,190
1397,214,31,214
1398,220,31,31
1399,232,31,31
1400,233,31,31
1401,274,31,31
1402,303,31,303
1403,328,31,328
1404,331,31,31
1405,342,31,31
1406,343,31,31
1407,354,31,31
1408,437,31,437
1409,443,31,31
1410,451,31,31
1411,463,31,31
1412,477,31,31
1413,481,31,481
1414,494,31,494
1415,513,31,31
1416,521,31,521
1417,563,31,31
1418,565,31,31
1419,578,31,31
1420,594,31,31
1421,602,31,31
1422,612,31,612
1423,628,31,628
1424,655,31,655
1425,659,31,31
1426,680,31,680
1427,696,31,31
1428,704,31,31
1429,704,31,31
1430,1,339,339
1431,8,339,339
1432,13,339,339
1433,89,339,339
1434,129,339,339
1435,135,339,135
1436,142,339,142
1437,153,339,339
1438,153,339,339
1439,156,339,156
1440,202,339,339
1441,209,339,339
1442,210,339,339
1443,216,339,339
1444,220,339,339
1445,223,339,223
1446,226,339,226
1447,233,339,339
1448,235,339,235
1449,251,339,251
1450,271,339,339
1451,272,339,272
1452,273,339,339
1453,281,339,339
1454,286,339,286
1455,294,339,339
1456,300,339,339
1457,324,339,339
1458,357,339,339
1459,367,339,339
1460,372,339,339
1461,373,339,373
1462,392,339,392
1463,405,339,405
1464,411,339,339
1465,412,339,339
1466,422,339,339
1467,426,339,426
1468,427,339,427
1469,440,339,339
1470,444,339,444
1471,450,339,339
1472,460,339,339
1473,488,339,488
1474,493,339,493
1475,499,339,339
1476,528,339,528
1477,534,339,339
1478,540,339,339
1479,541,339,339
1480,565,339,339
1481,572,339,572
1482,574,339,339
1483,579,339,339
1484,586,339,586
1485,594,339,594
1486,605,339,339
1487,606,339,339
1488,616,339,339
1489,618,339,339
1490,621,339,339
1491,623,339,339
1492,629,339,339
1493,633,339,339
1494,635,339,635
1495,649,339,649
1496,665,339,339
1497,680,339,339
1498,686,339,339
1499,700,339,339
1500,716,339,716
1501,1,103,103
1502,13,103,103
1503,18,103,18
1504,18,103,18
1505,21,103,21
1506,89,103,103
1507,102,103,103
1508,109,103,103
1509,181,103,103
1510,184,103,103
1511,189,103,189
1512,211,103,211
1513,216,103,103
1514,221,103,103
1515,257,103,257
1516,293,103,103
1517,308,103,308
1518,313,103,313
1519,334,103,334
1520,350,103,350
1521,376,103,376
1522,391,103,391
1523,395,103,395
1524,436,103,103
1525,438,103,103
1526,455,103,103
1527,457,103,457
1528,491,103,491
1529,509,103,509
1530,521,103,521
1531,526,103,103
1532,542,103,542
1533,544,103,103
1534,549,103,549
1535,565,103,103
1536,572,103,572
1537,586,103,586
1538,587,103,587
1539,597,103,103
1540,609,103,609
1541,616,103,103
1542,625,103,625
1543,632,103,632
1544,652,103,652
1545,688,103,103
1546,1,320,320
1547,35,320,320
1548,48,320,320
1549,64,320,64
1550,79,320,320
1551,83,320,320
1552,83,320,320
1553,87,320,87
1554,101,320,101
1555,107,320,107
1556,123,320,123
1557,131,320,320
1558,154,320,154
1559,166,320,166
1560,178,320,178
1561,184,320,320
1562,198,320,198
1563,227,320,227
1564,229,320,229
1565,242,320,320
1566,245,320,245
1567,269,320,269
1568,273,320,320
1569,280,320,320
1570,292,320,320
1571,299,320,320
1572,310,320,310
1573,321,320,320
1574,336,320,336
1575,343,320,320
1576,345,320,320
1577,357,320,320
1578,383,320,383
1579,390,320,390
1580,393,320,320
1581,403,320,320
1582,420,320,320
1583,420,320,320
1584,422,320,320
1585,440,320,320
1586,463,320,320
1587,471,320,471
1588,491,320,491
1589,503,320,503
1590,512,320,512
1591,522,320,522
1592,524,320,320
1593,550,320,550
1594,595,320,595
1595,614,320,320
1596,621,320,320
1597,624,320,320
1598,631,320,631
1599,652,320,652
1600,676,320,676
1601,701,320,701
1602,702,320,702
1603,1,587,587
1604,5,587,587
1605,16,587,587
1606,34,587,587
1607,50,587,50
1608,59,587,587
1609,73,587,587
1610,107,587,587
1611,116,587,587
1612,146,587,587
1613,148,587,587
1614,181,587,587
1615,198,587,587
1616,215,587,215
1617,232,587,232
1618,253,587,587
1619,256,587,587
1620,272,587,587
1621,328,587,328
1622,334,587,587
1623,363,587,587
1624,373,587,587
1625,380,587,380
1626,380,587,380
1627,381,587,381
1628,416,587,587
1629,431,587,587
1630,442,587,587
1631,490,587,587
1632,500,587,587
1633,524,587,587
1634,535,587,587
1635,548,587,587
1636,573,587,573
1637,595,587,587
1638,595,587,587
1639,619,587,587
1640,625,587,587
1641,646,587,587
1642,659,587,587
1643,661,587,587
1644,666,587,587
1645,685,587,587
1646,689,587,587
1647,691,587,587
1648,717,587,587
1649,1,570,570
1650,3,570,3
1651,19,570,19
1652,42,570,42
1653,47,570,570
1654,50,570,50
1655,56,570,56
1656,66,570,570
1657,73,570,73
1658,93,570,93
1659,118,570,570
1660,136,570,570
