First_pokemon,Second_pokemon,Winner
Vanillite,Raichu,Raichu
Vanillish,Raichu,Raichu
Tynamo,Raichu,Raichu
Litwick,Raichu,Raichu
Chandelure,Raichu,Raichu
Bisharp,Raichu,Raichu
Bouffalant,Raichu,Raichu
Rufflet,Raichu,Raichu
Mandibuzz,Raichu,Raichu
Zweilous,Raichu,Raichu
Hydreigon,Raichu,Raichu
Spewpa,Raichu,Raichu
Meowstic Female,Raichu,Raichu
Barbaracle,Raichu,Raichu
Dedenne,Raichu,Raichu
Gourgeist Small Size,Raichu,Raichu
Gourgeist Super Size,Raichu,Raichu
Raichu,Meowth,Raichu
Raichu,Snubbull,Raichu
Raichu,Panpour,Raichu
Raichu,Feebas,Raichu
Raichu,Metapod,Raichu
Raichu,Gastrodon,Raichu
Raichu,Stantler,Raichu
Raichu,Darmanitan Zen Mode,Raichu
Raichu,Klinklang,Raichu
Raichu,Avalugg,Raichu
Raichu,Chesnaught,Raichu
Raichu,Diggersby,Raichu
Raichu,Chatot,Raichu
Raichu,Mow Rotom,Raichu
Raichu,Uxie,Raichu
Raichu,Fan Rotom,Raichu
Raichu,Deoxys Defense Forme,Raichu
Raichu,Ducklett,Raichu
Raichu,Golbat,Raichu
Raichu,Burmy,Raichu
Raichu,Patrat,Raichu
Raichu,Darumaka,Raichu
Raichu,Beldum,Raichu
Raichu,Weepinbell,Raichu
Raichu,Reshiram,Raichu
Raichu,Heracross,Raichu
Raichu,Bronzong,Raichu
Raichu,Roggenrola,Raichu
Raichu,Galvantula,Raichu
Raichu,Regigigas,Raichu
Raichu,Plusle,Raichu
Raichu,Probopass,Raichu
Raichu,Mega Swampert,Raichu
Ninetales,Bisharp,Ninetales
Ninetales,Pidove,Ninetales
Ninetales,Pidove,Ninetales
Ninetales,Drapion,Ninetales
Ninetales,Piloswine,Ninetales
Ninetales,Cacturne,Ninetales
Ninetales,Breloom,Ninetales
Ninetales,Gourgeist Super Size,Ninetales
Ninetales,Toxicroak,Ninetales
Ninetales,Sigilyph,Ninetales
Ninetales,Charmander,Ninetales
Ninetales,Blaziken,Ninetales
Ninetales,Houndoom,Ninetales
Venusaur,Ninetales,Ninetales
Fearow,Ninetales,Ninetales
Arbok,Ninetales,Ninetales
Clefairy,Ninetales,Ninetales
Clefairy,Ninetales,Ninetales
Vileplume,Ninetales,Ninetales
Poliwhirl,Ninetales,Ninetales
Ponyta,Ninetales,Ninetales
Cubone,Ninetales,Ninetales
Staryu,Ninetales,Ninetales
Magmar,Ninetales,Ninetales
Lapras,Ninetales,Ninetales
Omanyte,Ninetales,Ninetales
Croconaw,Ninetales,Ninetales
Lanturn,Ninetales,Ninetales
Xatu,Ninetales,Ninetales
Blissey,Ninetales,Ninetales
Torchic,Ninetales,Ninetales
Poochyena,Ninetales,Ninetales
Slaking,Ninetales,Ninetales
Torkoal,Ninetales,Ninetales
Altaria,Ninetales,Ninetales
Lunatone,Ninetales,Ninetales
Castform,Ninetales,Ninetales
Shelgon,Ninetales,Ninetales
Metagross,Ninetales,Ninetales
Registeel,Ninetales,Ninetales
Kyogre,Ninetales,Ninetales
Groudon,Ninetales,Ninetales
Jirachi,Ninetales,Ninetales
Torterra,Ninetales,Ninetales
Bidoof,Ninetales,Ninetales
Shellos,Ninetales,Ninetales
Skorupi,Ninetales,Ninetales
Frost Rotom,Ninetales,Ninetales
Pignite,Ninetales,Ninetales
Patrat,Ninetales,Ninetales
Conkeldurr,Ninetales,Ninetales
Tympole,Ninetales,Ninetales
Palpitoad,Ninetales,Ninetales
Sawk,Ninetales,Ninetales
Sawk,Ninetales,Ninetales
Swadloon,Ninetales,Ninetales
Sigilyph,Ninetales,Ninetales
Zorua,Ninetales,Ninetales
Reuniclus,Ninetales,Ninetales
Bergmite,Ninetales,Ninetales
Yveltal,Ninetales,Ninetales
Hoopa Unbound,Ninetales,Ninetales
Ninetales,Hippowdon,Ninetales
Ninetales,Lickilicky,Ninetales
Ninetales,Magnezone,Ninetales
Ninetales,Combusken,Ninetales
Ninetales,Cascoon,Ninetales
Ninetales,Eelektross,Ninetales
Ninetales,Bronzor,Ninetales
Ninetales,Metapod,Ninetales
Ninetales,Exeggcute,Ninetales
Ninetales,Sewaddle,Ninetales
Ninetales,Ralts,Ninetales
Ninetales,Duosion,Ninetales
Ninetales,Mienfoo,Ninetales
Ninetales,Mienfoo,Ninetales
Ninetales,Azurill,Ninetales
Ninetales,Spearow,Ninetales
Ninetales,Leavanny,Ninetales
Ninetales,Skiploom,Ninetales
Ninetales,Vileplume,Ninetales
Ninetales,Gourgeist Average Size,Ninetales
Ninetales,Castform,Ninetales
Ninetales,Spewpa,Ninetales
Ninetales,Shieldon,Ninetales
Ninetales,Torkoal,Ninetales
Ninetales,Doduo,Ninetales
Ninetales,Nidoking,Ninetales
Ninetales,Swalot,Ninetales
Ninetales,Tyrantrum,Ninetales
Ninetales,Mega Heracross,Ninetales
Ninetales,Mega Heracross,Ninetales
Ninetales,Poliwrath,Ninetales
Ninetales,Bayleef,Ninetales
Ninetales,Abomasnow,Ninetales
Ninetales,Turtwig,Ninetales
Ninetales,Mantine,Ninetales
Ninetales,Ampharos,Ninetales
Ninetales,Baltoy,Ninetales
Ninetales,Clefable,Ninetales
Ninetales,Swablu,Ninetales
Ninetales,Magnemite,Ninetales
Ninetales,Mesprit,Ninetales
Rapidash,Bisharp,Rapidash
Rapidash,Dragonite,Rapidash
Rapidash,Mega Gardevoir,Rapidash
Rapidash,Granbull,Rapidash
Rapidash,Scatterbug,Rapidash
Rapidash,Riolu,Rapidash
Rapidash,Mega Altaria,Rapidash
Rapidash,Meditite,Rapidash
Venusaur,Rapidash,Rapidash
Mega Blastoise,Rapidash,Rapidash
Parasect,Rapidash,Rapidash
Geodude,Rapidash,Rapidash
Mega Slowbro,Rapidash,Rapidash
Shellder,Rapidash,Rapidash
Haunter,Rapidash,Rapidash
Pinsir,Rapidash,Rapidash
Croconaw,Rapidash,Rapidash
Furret,Rapidash,Rapidash
Spinarak,Rapidash,Rapidash
Politoed,Rapidash,Rapidash
Scizor,Rapidash,Rapidash
Tyrogue,Rapidash,Rapidash
Ho-oh,Rapidash,Rapidash
Treecko,Rapidash,Rapidash
Zigzagoon,Rapidash,Rapidash
Zigzagoon,Rapidash,Rapidash
Lotad,Rapidash,Rapidash
Wingull,Rapidash,Rapidash
Wingull,Rapidash,Rapidash
Surskit,Rapidash,Rapidash
Slakoth,Rapidash,Rapidash
Slaking,Rapidash,Rapidash
Delcatty,Rapidash,Rapidash
Aron,Rapidash,Rapidash
Aggron,Rapidash,Rapidash
Torkoal,Rapidash,Rapidash
Corphish,Rapidash,Rapidash
Milotic,Rapidash,Rapidash
Pachirisu,Rapidash,Rapidash
Glameow,Rapidash,Rapidash
Happiny,Rapidash,Rapidash
Hippopotas,Rapidash,Rapidash
Giratina Origin Forme,Rapidash,Rapidash
Pignite,Rapidash,Rapidash
Oshawott,Rapidash,Rapidash
Tympole,Rapidash,Rapidash
Throh,Rapidash,Rapidash
Swanna,Rapidash,Rapidash
Rufflet,Rapidash,Rapidash
Volcarona,Rapidash,Rapidash
Chespin,Rapidash,Rapidash
Delphox,Rapidash,Rapidash
Meowstic Female,Rapidash,Rapidash
Binacle,Rapidash,Rapidash
Binacle,Rapidash,Rapidash
Skrelp,Rapidash,Rapidash
Tyrantrum,Rapidash,Rapidash
Noibat,Rapidash,Rapidash
Rapidash,Noctowl,Rapidash
Rapidash,Flabébé,Rapidash
Rapidash,Cottonee,Rapidash
Rapidash,Chespin,Rapidash
Rapidash,Snubbull,Rapidash
Rapidash,Stantler,Rapidash
Rapidash,Dustox,Rapidash
Rapidash,Mawile,Rapidash
Rapidash,Mega Scizor,Rapidash
Rapidash,Ledyba,Rapidash
Rapidash,Unfezant,Rapidash
Rapidash,Swadloon,Rapidash
Rapidash,Shieldon,Rapidash
Rapidash,Lairon,Rapidash
Rapidash,Shelmet,Rapidash
Rapidash,Magcargo,Rapidash
Rapidash,Bibarel,Rapidash
Rapidash,Kingdra,Rapidash
Rapidash,Bronzong,Rapidash
Rapidash,Buizel,Rapidash
Rapidash,Cleffa,Rapidash
Rapidash,Abomasnow,Rapidash
Rapidash,Delibird,Rapidash
Rapidash,Magby,Rapidash
Rapidash,Dratini,Rapidash
Rapidash,Tentacool,Rapidash
Rapidash,Azumarill,Rapidash
Rapidash,Pidgeotto,Rapidash
Rapidash,Skitty,Rapidash
Rapidash,Nincada,Rapidash
Rapidash,Pupitar,Rapidash
Rapidash,Flaaffy,Rapidash
Rapidash,Hoppip,Rapidash
Doduo,Bisharp,Doduo
Doduo,Nosepass,Doduo
Doduo,Gabite,Doduo
Doduo,Mime Jr.,Doduo
Doduo,Stunky,Doduo
Doduo,Regirock,Doduo
Doduo,Glaceon,Doduo
Doduo,Cacturne,Doduo
Doduo,Breloom,Doduo
Doduo,Gurdurr,Doduo
Doduo,Carvanha,Doduo
Doduo,Diancie,Doduo
Doduo,Finneon,Doduo
Doduo,Hippowdon,Doduo
Doduo,Skarmory,Doduo
Doduo,Metapod,Doduo
Doduo,Metapod,Doduo
Doduo,Trapinch,Doduo
Doduo,Spinda,Doduo
Doduo,Torchic,Doduo
Doduo,Diggersby,Doduo
Doduo,Castform,Doduo
Doduo,Sandile,Doduo
Doduo,Noibat,Doduo
Caterpie,Doduo,Doduo
Butterfree,Doduo,Doduo
Kakuna,Doduo,Doduo
Nidorino,Doduo,Doduo
Nidorino,Doduo,Doduo
Weepinbell,Doduo,Doduo
Gastly,Doduo,Doduo
Gengar,Doduo,Doduo
Mega Gengar,Doduo,Doduo
Drowzee,Doduo,Doduo
Drowzee,Doduo,Doduo
Lapras,Doduo,Doduo
Pichu,Doduo,Doduo
Mega Ampharos,Doduo,Doduo
Marill,Doduo,Doduo
Marill,Doduo,Doduo
Steelix,Doduo,Doduo
Granbull,Doduo,Doduo
Houndour,Doduo,Doduo
Hitmontop,Doduo,Doduo
Blissey,Doduo,Doduo
Mightyena,Doduo,Doduo
Surskit,Doduo,Doduo
Mega Mawile,Doduo,Doduo
Mega Aggron,Doduo,Doduo
Electrike,Doduo,Doduo
Lunatone,Doduo,Doduo
Solrock,Doduo,Doduo
Wynaut,Doduo,Doduo
Shelgon,Doduo,Doduo
Beldum,Doduo,Doduo
Piplup,Doduo,Doduo
Stunky,Doduo,Doduo
Tangrowth,Doduo,Doduo
Snivy,Doduo,Doduo
Throh,Doduo,Doduo
Archen,Doduo,Doduo
Trubbish,Doduo,Doduo
Zorua,Doduo,Doduo
Klang,Doduo,Doduo
Eelektross,Doduo,Doduo
Golett,Doduo,Doduo
Zweilous,Doduo,Doduo
Fennekin,Doduo,Doduo
Fennekin,Doduo,Doduo
Bunnelby,Doduo,Doduo
Diggersby,Doduo,Doduo
Sylveon,Doduo,Doduo
Carbink,Doduo,Doduo
Pumpkaboo Average Size,Doduo,Doduo
Pumpkaboo Average Size,Doduo,Doduo
Doduo,Spinarak,Doduo
Doduo,Nidoran♀,Doduo
Doduo,Tyrantrum,Doduo
Doduo,Porygon,Doduo
Doduo,Corsola,Doduo
Doduo,Sentret,Doduo
Doduo,Skitty,Doduo
Doduo,Sableye,Doduo
Doduo,Omastar,Doduo
Doduo,Beartic,Doduo
Doduo,Slowpoke,Doduo
Doduo,Scizor,Doduo
Seadra,Bisharp,Seadra
Seadra,Poochyena,Seadra
Seadra,Regirock,Seadra
Seadra,Chimecho,Seadra
Seadra,Absol,Seadra
Seadra,Absol,Seadra
Seadra,Lickitung,Seadra
Seadra,Skarmory,Seadra
Seadra,Eelektross,Seadra
Seadra,Eelektross,Seadra
Seadra,Throh,Seadra
Seadra,Geodude,Seadra
Seadra,Geodude,Seadra
Seadra,Krokorok,Seadra
