,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
26,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75.0,5120,70,300,255,Mouse Pokémon,85.0,1000000,,50.0,Sandサンド,Sandshrew,50.0,27,20.0,30.0,40.0,Ground,ice,,1,0
27,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100.0,5120,70,450,90,Mouse Pokémon,110.0,1000000,,75.0,Sandpanサンドパン,Sandslash,50.0,28,45.0,55.0,65.0,Ground,ice,,1,0
28,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47.0,5120,70,275,235,Poison Pin Pokémon,52.0,1059860,0.4,55.0,Nidoran?ニドラン♀,Nidoran♀,0.0,29,40.0,40.0,41.0,Poison,,7.0,1,0
29,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62.0,5120,70,365,120,Poison Pin Pokémon,67.0,1059860,0.8,70.0,Nidorinaニドリーナ,Nidorina,0.0,30,55.0,55.0,56.0,Poison,,20.0,1,0
30,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92.0,5120,70,505,45,Drill Pokémon,87.0,1059860,1.3,90.0,Nidoqueenニドクイン,Nidoqueen,0.0,31,75.0,85.0,76.0,Poison,Ground,60.0,1,0
31,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57.0,5120,70,273,235,Poison Pin Pokémon,40.0,1059860,0.5,46.0,Nidoran?ニドラン♂,Nidoran♂,100.0,32,40.0,40.0,50.0,Poison,,9.0,1,0
32,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72.0,5120,70,365,120,Poison Pin Pokémon,57.0,1059860,0.9,61.0,Nidorinoニドリーノ,Nidorino,100.0,33,55.0,55.0,65.0,Poison,,19.5,1,0
33,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102.0,5120,70,505,45,Drill Pokémon,77.0,1059860,1.4,81.0,Nidokingニドキング,Nidoking,100.0,34,85.0,75.0,85.0,Poison,Ground,62.0,1,0
34,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45.0,2560,140,323,150,Fairy Pokémon,48.0,800000,0.6,70.0,Pippiピッピ,Clefairy,24.6,35,60.0,65.0,35.0,Fairy,,7.5,1,0
35,"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70.0,2560,140,483,25,Fairy Pokémon,73.0,800000,1.3,95.0,Pixyピクシー,Clefable,24.6,36,95.0,90.0,60.0,Fairy,,40.0,1,0
36,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41.0,5120,70,299,190,Fox Pokémon,40.0,1000000,,38.0,Rokonロコン,Vulpix,24.6,37,50.0,65.0,65.0,Fire,ice,,1,0
37,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,76.0,5120,70,505,75,Fox Pokémon,75.0,1000000,,73.0,Kyukonキュウコン,Ninetales,24.6,38,81.0,100.0,100.0,Fire,ice,,1,0
38,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45.0,2560,70,270,170,Balloon Pokémon,20.0,800000,0.5,115.0,Purinプリン,Jigglypuff,24.6,39,45.0,25.0,20.0,Normal,Fairy,5.5,1,0
39,"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70.0,2560,70,435,50,Balloon Pokémon,45.0,800000,1.0,140.0,Pukurinプクリン,Wigglytuff,24.6,40,85.0,50.0,45.0,Normal,Fairy,12.0,1,0
40,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45.0,3840,70,245,255,Bat Pokémon,35.0,1000000,0.8,40.0,Zubatズバット,Zubat,50.0,41,30.0,40.0,55.0,Poison,Flying,7.5,1,0
41,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80.0,3840,70,455,90,Bat Pokémon,70.0,1000000,1.6,75.0,Golbatゴルバット,Golbat,50.0,42,65.0,75.0,90.0,Poison,Flying,55.0,1,0
42,"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50.0,5120,70,320,255,Weed Pokémon,55.0,1059860,0.5,45.0,Nazonokusaナゾノクサ,Oddish,50.0,43,75.0,65.0,30.0,Grass,Poison,5.4,1,0
43,"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65.0,5120,70,395,120,Weed Pokémon,70.0,1059860,0.8,60.0,Kusaihanaクサイハナ,Gloom,50.0,44,85.0,75.0,40.0,Grass,Poison,8.6,1,0
44,"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80.0,5120,70,490,45,Flower Pokémon,85.0,1059860,1.2,75.0,Ruffresiaラフレシア,Vileplume,50.0,45,110.0,90.0,50.0,Grass,Poison,18.6,1,0
45,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70.0,5120,70,285,190,Mushroom Pokémon,55.0,1000000,0.3,35.0,Parasパラス,Paras,50.0,46,45.0,55.0,25.0,Bug,Grass,5.4,1,0
46,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95.0,5120,70,405,75,Mushroom Pokémon,80.0,1000000,1.0,60.0,Parasectパラセクト,Parasect,50.0,47,60.0,80.0,30.0,Bug,Grass,29.5,1,0
47,"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55.0,5120,70,305,190,Insect Pokémon,50.0,1000000,1.0,60.0,Kongpangコンパン,Venonat,50.0,48,40.0,55.0,45.0,Bug,Poison,30.0,1,0
48,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65.0,5120,70,450,75,Poison Moth Pokémon,60.0,1000000,1.5,70.0,Morphonモルフォン,Venomoth,50.0,49,90.0,75.0,90.0,Bug,Poison,12.5,1,0
49,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55.0,5120,70,265,255,Mole Pokémon,25.0,1000000,,10.0,Digdaディグダ,Diglett,50.0,50,35.0,45.0,95.0,Ground,ground,,1,0
50,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,80.0,5120,70,425,50,Mole Pokémon,50.0,1000000,,35.0,Dugtrioダグトリオ,Dugtrio,50.0,51,50.0,70.0,120.0,Ground,ground,,1,0
51,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45.0,5120,70,290,255,Scratch Cat Pokémon,35.0,1000000,,40.0,Nyarthニャース,Meowth,50.0,52,40.0,40.0,90.0,Normal,dark,,1,0
52,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0,5120,70,440,90,Classy Cat Pokémon,60.0,1000000,,65.0,Persianペルシアン,Persian,50.0,53,65.0,65.0,115.0,Normal,dark,,1,0
53,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52.0,5120,70,320,190,Duck Pokémon,48.0,1000000,0.8,50.0,Koduckコダック,Psyduck,50.0,54,65.0,50.0,55.0,Water,,19.6,1,0
54,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82.0,5120,70,500,75,Duck Pokémon,78.0,1000000,1.7,80.0,Golduckゴルダック,Golduck,50.0,55,95.0,80.0,85.0,Water,,76.6,1,0
55,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80.0,5120,70,305,190,Pig Monkey Pokémon,35.0,1000000,0.5,40.0,Mankeyマンキー,Mankey,50.0,56,35.0,45.0,70.0,Fighting,,28.0,1,0
56,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70.0,5120,70,350,190,Puppy Pokémon,45.0,1250000,0.7,55.0,Gardieガーディ,Growlithe,75.4,58,70.0,50.0,60.0,Fire,,19.0,1,0
57,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110.0,5120,70,555,75,Legendary Pokémon,80.0,1250000,1.9,90.0,Windieウインディ,Arcanine,75.4,59,100.0,80.0,95.0,Fire,,155.0,1,0
58,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50.0,5120,70,300,255,Tadpole Pokémon,40.0,1059860,0.6,40.0,Nyoromoニョロモ,Poliwag,50.0,60,40.0,40.0,90.0,Water,,12.4,1,0
59,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65.0,5120,70,385,120,Tadpole Pokémon,65.0,1059860,1.0,65.0,Nyorozoニョロゾ,Poliwhirl,50.0,61,50.0,50.0,90.0,Water,,20.0,1,0
60,"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95.0,5120,70,510,45,Tadpole Pokémon,95.0,1059860,1.3,90.0,Nyorobonニョロボン,Poliwrath,50.0,62,70.0,90.0,70.0,Water,Fighting,54.0,1,0
61,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20.0,5120,70,310,200,Psi Pokémon,15.0,1059860,0.9,25.0,Caseyケーシィ,Abra,75.4,63,105.0,55.0,90.0,Psychic,,19.5,1,0
62,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35.0,5120,70,400,100,Psi Pokémon,30.0,1059860,1.3,40.0,Yungererユンゲラー,Kadabra,75.4,64,120.0,70.0,105.0,Psychic,,56.5,1,0
63,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50.0,5120,70,600,50,Psi Pokémon,45.0,1059860,1.5,55.0,Foodinフーディン,Alakazam,75.4,65,135.0,95.0,120.0,Psychic,,48.0,1,0
64,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80.0,5120,70,305,180,Superpower Pokémon,50.0,1059860,0.8,70.0,Wanrikyワンリキー,Machop,75.4,66,35.0,35.0,35.0,Fighting,,19.5,1,0
65,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100.0,5120,70,405,90,Superpower Pokémon,70.0,1059860,1.5,80.0,Gorikyゴーリキー,Machoke,75.4,67,50.0,60.0,45.0,Fighting,,70.5,1,0
66,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130.0,5120,70,505,45,Superpower Pokémon,80.0,1059860,1.6,90.0,Kairikyカイリキー,Machamp,75.4,68,65.0,85.0,55.0,Fighting,,130.0,1,0
67,"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75.0,5120,70,300,255,Flower Pokémon,35.0,1059860,0.7,50.0,Madatsubomiマダツボミ,Bellsprout,50.0,69,70.0,30.0,40.0,Grass,Poison,4.0,1,0
68,"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90.0,5120,70,390,120,Flycatcher Pokémon,50.0,1059860,1.0,65.0,Utsudonウツドン,Weepinbell,50.0,70,85.0,45.0,55.0,Grass,Poison,6.4,1,0
69,"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,105.0,5120,70,490,45,Flycatcher Pokémon,65.0,1059860,1.7,80.0,Utsubotウツボット,Victreebel,50.0,71,100.0,70.0,70.0,Grass,Poison,15.5,1,0
70,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,40.0,5120,70,335,190,Jellyfish Pokémon,35.0,1250000,0.9,40.0,Menokurageメノクラゲ,Tentacool,50.0,72,50.0,100.0,70.0,Water,Poison,45.5,1,0
71,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70.0,5120,70,515,60,Jellyfish Pokémon,65.0,1250000,1.6,80.0,Dokukurageドククラゲ,Tentacruel,50.0,73,80.0,120.0,100.0,Water,Poison,55.0,1,0
