,name,pokedex_number,generation,type1,type2,is_legendary,attack,sp_attack,defense,sp_defense,speed,hp,height_m,weight_kg,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
19,Raticate,20,1,normal,dark,0,71,40,70,80,77,75,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Spearow,21,1,normal,flying,0,60,31,30,31,70,40,0.3,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
21,Fearow,22,1,normal,flying,0,90,61,65,61,100,65,1.2,38.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
22,Ekans,23,1,poison,unknown,0,60,40,44,54,55,35,2.0,6.9,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
23,Arbok,24,1,poison,unknown,0,95,65,69,79,80,60,3.5,65.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
24,Pikachu,25,1,electric,unknown,0,55,50,40,50,90,35,0.4,6.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Raichu,26,1,electric,electric,0,85,95,50,85,110,60,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,Sandshrew,27,1,ground,ice,0,75,10,90,35,40,50,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
27,Sandslash,28,1,ground,ice,0,100,25,120,65,65,75,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
28,Nidoran♀,29,1,poison,unknown,0,47,40,52,40,41,55,0.4,7.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
29,Nidorina,30,1,poison,unknown,0,62,55,67,55,56,70,0.8,20.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
30,Nidoqueen,31,1,poison,ground,0,92,75,87,85,76,90,1.3,60.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
31,Nidoran♂,32,1,poison,unknown,0,57,40,40,40,50,46,0.5,9.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
32,Nidorino,33,1,poison,unknown,0,72,55,57,55,65,61,0.9,19.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
33,Nidoking,34,1,poison,ground,0,102,85,77,75,85,81,1.4,62.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
34,Clefairy,35,1,fairy,unknown,0,45,60,48,65,35,70,0.6,7.5,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
35,Clefable,36,1,fairy,unknown,0,70,95,73,90,60,95,1.3,40.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
36,Vulpix,37,1,fire,ice,0,41,50,40,65,65,38,0.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
37,Ninetales,38,1,fire,ice,0,67,81,75,100,109,73,0.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
38,Jigglypuff,39,1,normal,fairy,0,45,45,20,25,20,115,0.5,5.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
39,Wigglytuff,40,1,normal,fairy,0,70,85,45,50,45,140,1.0,12.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
40,Zubat,41,1,poison,flying,0,45,30,35,40,55,40,0.8,7.5,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
41,Golbat,42,1,poison,flying,0,80,65,70,75,90,75,1.6,55.0,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
42,Oddish,43,1,grass,poison,0,50,75,55,65,30,45,0.5,5.4,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
43,Gloom,44,1,grass,poison,0,65,85,70,75,40,60,0.8,8.6,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
44,Vileplume,45,1,grass,poison,0,80,110,85,90,50,75,1.2,18.6,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
45,Paras,46,1,bug,grass,0,70,45,55,55,25,35,0.3,5.4,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
46,Parasect,47,1,bug,grass,0,95,60,80,80,30,60,1.0,29.5,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
47,Venonat,48,1,bug,poison,0,55,40,50,55,45,60,1.0,30.0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
48,Venomoth,49,1,bug,poison,0,65,90,60,75,90,70,1.5,12.5,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
49,Diglett,50,1,ground,ground,0,55,35,30,45,90,10,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
50,Dugtrio,51,1,ground,ground,0,100,50,60,70,110,35,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
51,Meowth,52,1,normal,dark,0,35,50,35,40,90,40,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,Persian,53,1,normal,dark,0,60,75,60,65,115,65,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,Psyduck,54,1,water,unknown,0,52,65,48,50,55,50,0.8,19.6,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
54,Golduck,55,1,water,unknown,0,82,95,78,80,85,80,1.7,76.6,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
55,Mankey,56,1,fight,unknown,0,80,35,35,45,70,40,0.5,28.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
56,Primeape,57,1,fight,unknown,0,105,60,60,70,95,65,1.0,32.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
57,Growlithe,58,1,fire,unknown,0,70,70,45,50,60,55,0.7,19.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
58,Arcanine,59,1,fire,unknown,0,110,100,80,80,95,90,1.9,155.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
59,Poliwag,60,1,water,unknown,0,50,40,40,40,90,40,0.6,12.4,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
60,Poliwhirl,61,1,water,unknown,0,65,50,65,50,90,65,1.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
61,Poliwrath,62,1,water,fight,0,95,70,95,90,70,90,1.3,54.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5
62,Abra,63,1,psychic,unknown,0,20,105,15,55,90,25,0.9,19.5,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
63,Kadabra,64,1,psychic,unknown,0,35,120,30,70,105,40,1.3,56.5,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
64,Alakazam,65,1,psychic,unknown,0,50,175,65,105,150,55,1.5,48.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
65,Machop,66,1,fight,unknown,0,80,35,50,35,35,70,0.8,19.5,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
66,Machoke,67,1,fight,unknown,0,100,50,70,60,45,80,1.5,70.5,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
67,Machamp,68,1,fight,unknown,0,130,65,80,85,55,90,1.6,130.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
68,Bellsprout,69,1,grass,poison,0,75,70,35,30,40,50,0.7,4.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
69,Weepinbell,70,1,grass,poison,0,90,85,50,45,55,65,1.0,6.4,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
70,Victreebel,71,1,grass,poison,0,105,100,65,70,70,80,1.7,15.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
71,Tentacool,72,1,water,poison,0,40,50,35,100,70,40,0.9,45.5,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
72,Tentacruel,73,1,water,poison,0,70,80,65,120,100,80,1.6,55.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
73,Geodude,74,1,rock,ground,0,80,30,100,30,20,40,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
74,Graveler,75,1,rock,ground,0,95,45,115,45,35,55,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
75,Golem,76,1,rock,ground,0,120,55,130,65,45,80,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
76,Ponyta,77,1,fire,unknown,0,85,65,55,65,90,50,1.0,30.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
77,Rapidash,78,1,fire,unknown,0,100,80,70,80,105,65,1.7,95.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
78,Slowpoke,79,1,water,psychic,0,65,40,65,40,15,90,1.2,36.0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
79,Slowbro,80,1,water,psychic,0,75,130,180,80,30,95,1.6,78.5,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
80,Magnemite,81,1,electric,steel,0,35,95,70,55,45,25,0.3,6.0,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
81,Magneton,82,1,electric,steel,0,60,120,95,70,70,50,1.0,60.0,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
82,Farfetch'd,83,1,normal,flying,0,90,58,55,62,60,52,0.8,15.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
83,Doduo,84,1,normal,flying,0,85,35,45,35,75,35,1.4,39.2,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
84,Dodrio,85,1,normal,flying,0,110,60,70,60,110,60,1.8,85.2,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
85,Seel,86,1,water,unknown,0,45,45,55,70,45,65,1.1,90.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
86,Dewgong,87,1,water,ice,0,70,70,80,95,70,90,1.7,120.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
87,Grimer,88,1,poison,poison,0,80,40,50,50,25,80,0.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
88,Muk,89,1,poison,poison,0,105,65,75,100,50,105,0.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
89,Shellder,90,1,water,unknown,0,65,45,100,25,40,30,0.3,4.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
90,Cloyster,91,1,water,ice,0,95,85,180,45,70,50,1.5,132.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
91,Gastly,92,1,ghost,poison,0,35,100,30,35,80,30,1.3,0.1,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
92,Haunter,93,1,ghost,poison,0,50,115,45,55,95,45,1.6,0.1,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
93,Gengar,94,1,ghost,poison,0,65,170,80,95,130,60,1.5,40.5,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
94,Onix,95,1,rock,ground,0,45,30,160,45,70,35,8.8,210.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
95,Drowzee,96,1,psychic,unknown,0,48,43,45,90,42,60,1.0,32.4,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
96,Hypno,97,1,psychic,unknown,0,73,73,70,115,67,85,1.6,75.6,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
97,Krabby,98,1,water,unknown,0,105,25,90,25,50,30,0.4,6.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
98,Kingler,99,1,water,unknown,0,130,50,115,50,75,55,1.3,60.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
99,Voltorb,100,1,electric,unknown,0,30,55,50,55,100,40,0.5,10.4,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
100,Electrode,101,1,electric,unknown,0,50,80,70,80,150,60,1.2,66.6,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
101,Exeggcute,102,1,grass,psychic,0,40,60,80,45,40,60,0.4,2.5,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
102,Exeggutor,103,1,grass,psychic,0,105,125,85,75,45,95,0.0,0.0,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
103,Cubone,104,1,ground,unknown,0,50,40,95,50,35,50,0.4,6.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
104,Marowak,105,1,ground,fire,0,80,50,110,80,45,60,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
105,Hitmonlee,106,1,fight,unknown,0,120,35,53,110,87,50,1.5,49.8,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
106,Hitmonchan,107,1,fight,unknown,0,105,35,79,110,76,50,1.4,50.2,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
107,Lickitung,108,1,normal,unknown,0,55,60,75,75,30,90,1.2,65.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,Koffing,109,1,poison,unknown,0,65,60,95,45,35,40,0.6,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
109,Weezing,110,1,poison,unknown,0,90,85,120,70,60,65,1.2,9.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
110,Rhyhorn,111,1,ground,rock,0,85,30,95,30,25,80,1.0,115.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
111,Rhydon,112,1,ground,rock,0,130,45,120,45,40,105,1.9,120.0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
112,Chansey,113,1,normal,unknown,0,5,35,5,105,50,250,1.1,34.6,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
113,Tangela,114,1,grass,unknown,0,55,100,115,40,60,65,1.0,35.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
114,Kangaskhan,115,1,normal,unknown,0,125,60,100,100,100,105,2.2,80.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,Horsea,116,1,water,unknown,0,40,70,70,25,60,30,0.4,8.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
116,Seadra,117,1,water,unknown,0,65,95,95,45,85,55,1.2,25.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
117,Goldeen,118,1,water,unknown,0,67,35,60,50,63,45,0.6,15.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
118,Seaking,119,1,water,unknown,0,92,65,65,80,68,80,1.3,39.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
119,Staryu,120,1,water,unknown,0,45,70,55,55,85,30,0.8,34.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
120,Starmie,121,1,water,psychic,0,75,100,85,85,115,60,1.1,80.0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
121,Mr. Mime,122,1,psychic,fairy,0,45,100,65,120,90,40,1.3,54.5,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
